Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,300000,24,25,26,27,43,1,255,0.000%,5935.18775,2880.65,1634.50
TOTAL,300000,24,25,26,27,43,1,255,0.000%,5935.18775,2880.65,1634.50
