Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP请求,300000,13,14,14,15,16,0,30,0.000%,10743.83125,7291.96,1489.87
TOTAL,300000,13,14,14,15,16,0,30,0.000%,10743.83125,7291.96,1489.87
