Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
HTTP«Î«Û,300000,9,6,6,7,9,0,1538,0.00%,14797.2773,1820.76,1661.8
TOTAL,300000,9,6,6,7,9,0,1538,0.00%,14797.2773,1820.76,1661.8
